,회사명,종목코드
1054,셀트리온제약,68760
1055,슈프리마에이치큐,94840
1056,스타플렉스,115570
1057,스튜디오드래곤,253450
1058,시노펙스,25320
1059,신원종합개발,17000
1060,신일제약,12790
1061,신흥에스이씨,243840
1062,씨앤지하이테크,264660
1063,씨티씨바이오,60590
1064,아세아텍,50860
1065,아스타,246720
1066,아시아종묘,154030
1067,아우딘퓨쳐스,227610
1068,아이엘사이언스,307180
1069,아이진,185490
1070,아이큐어,175250
1071,아이크래프트,52460
1072,안트로젠,65660
1073,알에스오토메이션,140670
1074,액트,131400
1075,에스디생명공학,217480
1076,에스모 머티리얼즈,87730
1077,에스씨엠생명과학,298060
1078,에스앤씨엔진그룹,900080
1079,에스텍파마,41910
1080,에이스테크,88800
1081,에이씨티,138360
1082,에이치엔티,176440
1083,에이치엘사이언스,239610
1084,에이치엠씨제4호스팩,353070
1085,에이티세미콘,89530
1086,에이팩트,200470
1087,에이프로젠 H&G,109960
1088,에코플라스틱,38110
1089,엑사이엔씨,54940
1090,엔에스,217820
1091,엔에스엔,31860
1092,엔피디,198080
1093,엘오티베큠,83310
1094,엠투아이,347890
1095,엠플러스,259630
1096,예스24,53280
1097,오가닉티코스메틱,900300
1098,옵트론텍,82210
1099,옵티팜,153710
1100,와이솔,122990
1101,와이아이케이,232140
1102,우노앤컴퍼니,114630
1103,우리산업홀딩스,72470
1104,우림기계,101170
1105,우양,103840
1106,원익,32940
1107,유라테크,48430
1108,유성티엔에스,24800
1109,유에스티,263770
1110,이노인스트루먼트,215790
1111,이루온,65440
1112,이엘피,63760
1113,이지홀딩스,35810
1114,이트론,96040
1115,인터플렉스,51370
1116,일야,58450
1117,잉글우드랩,950140
1118,전파기지국,65530
1119,제너셈,217190
1120,제넨바이오,72520
1121,제노레이,122310
1122,제로투세븐,159580
1123,제룡전기,33100
1124,제이씨현시스템,33320
1125,조광ILI,44060
1126,초록뱀,47820
1127,칩스앤미디어,94360
1128,컴퍼니케이,307930
1129,케이사인,192250
1130,케이씨에스,115500
1131,케이아이엔엑스,93320
1132,켐온,217600
1133,코맥스,36690
1134,코세스,89890
1135,코스메카코리아,241710
1136,코엔텍,29960
1137,코텍,52330
1138,큐캐피탈,16600
1139,크리스탈신소재,900250
1140,타이거일렉,219130
1141,태웅,44490
1142,티로보틱스,117730
1143,파마리서치프로덕트,214450
1144,파인디앤씨,49120
1145,파인텍,131760
1146,펩트론,87010
1147,포스링크,56730
1148,풍국주정,23900
1149,퓨쳐켐,220100
1150,피씨디렉트,51380
1151,피에스케이홀딩스,31980
1152,하이로닉,149980
1153,하이소닉,106080
1154,한국유니온제약,80720
1155,한국전자금융,63570
1156,한국컴퓨터,54040
1157,한국테크놀로지,53590
1158,한일사료,5860
1159,헝셩그룹,900270
1160,현대바이오,48410
1161,효성오앤비,97870
1162,휴온스,243070
1163,휴젤,145020
1164,나라소프트,288490
1165,메디쎄이,200580
1166,빅텐츠,210120
1167,씨알푸드,236030
1168,씨이랩,189330
1169,아퓨어스,149300
1170,엘에이티,311060
1171,위월드,140660
1172,유비온,84440
1173,지오씨,135160
1174,크로넥스,215570
1175,피노텍,150440
1176,AK홀딩스,6840
1177,CJ씨푸드,11150
1178,DB금융투자,16610
1179,DGB금융지주,139130
1180,E1,17940
1181,F&F,7700
1182,KC코트렐,119650
1183,KEC,92220
1184,KISCO홀딩스,1940
1185,LG,3550
